AFFGEOID,Geography,Percent_below_poverty_level,Percent_with_public_health_coverage
0500000US10005,"Sussex County, Delaware",12,27.9
0500000US11001,"District of Columbia, District of Columbia",17.4,13
0500000US12001,"Alachua County, Florida",23.3,14.1
0500000US12003,"Baker County, Florida",17.2,16.8
0500000US12005,"Bay County, Florida",15.4,19.8
0500000US12007,"Bradford County, Florida",18.8,23
0500000US12009,"Brevard County, Florida",13.4,25.2
0500000US12011,"Broward County, Florida",14,16.1
0500000US12013,"Calhoun County, Florida",12.9,23
0500000US12015,"Charlotte County, Florida",12,41.2
0500000US12017,"Citrus County, Florida",17.4,39.2
0500000US12019,"Clay County, Florida",10.4,16.5
0500000US12021,"Collier County, Florida",12.8,30.6
0500000US12023,"Columbia County, Florida",16.8,21.6
0500000US12027,"DeSoto County, Florida",29.9,23.6
0500000US12029,"Dixie County, Florida",23.7,31.3
0500000US12031,"Duval County, Florida",16,15
0500000US12033,"Escambia County, Florida",14.6,18.7
0500000US12035,"Flagler County, Florida",13.3,32.5
0500000US12037,"Franklin County, Florida",20.1,26.6
0500000US12039,"Gadsden County, Florida",24.4,20.1
0500000US12041,"Gilchrist County, Florida",19.8,23.8
0500000US12043,"Glades County, Florida",18,29.8
0500000US12045,"Gulf County, Florida",14.9,26
0500000US12047,"Hamilton County, Florida",26.6,23.3
0500000US12049,"Hardee County, Florida",24.5,17.9
0500000US12051,"Hendry County, Florida",25.5,15.5
0500000US12053,"Hernando County, Florida",14.3,31
0500000US12055,"Highlands County, Florida",18.7,37.4
0500000US12057,"Hillsborough County, Florida",15.7,15.2
0500000US12059,"Holmes County, Florida",26.6,25.2
0500000US12061,"Indian River County, Florida",12.7,33
0500000US12063,"Jackson County, Florida",21.6,26
0500000US12065,"Jefferson County, Florida",13.9,27.7
0500000US12067,"Lafayette County, Florida",17.8,18.5
0500000US12069,"Lake County, Florida",12.8,28.3
0500000US12071,"Lee County, Florida",14.9,28.5
0500000US12073,"Leon County, Florida",20.5,13.1
0500000US12075,"Levy County, Florida",21.9,27.2
0500000US12077,"Liberty County, Florida",17.8,21.7
0500000US12079,"Madison County, Florida",31.9,25.3
0500000US12081,"Manatee County, Florida",13.4,27.4
0500000US12083,"Marion County, Florida",17.6,31.5
0500000US12085,"Martin County, Florida",10.9,31.4
0500000US12086,"Miami-Dade County, Florida",19,16.1
0500000US12087,"Monroe County, Florida",12.7,22.4
0500000US12089,"Nassau County, Florida",11.4,22.1
0500000US12091,"Okaloosa County, Florida",11.5,18.1
0500000US12093,"Okeechobee County, Florida",22.3,22.5
0500000US12095,"Orange County, Florida",16.7,12.4
0500000US12097,"Osceola County, Florida",17.8,15
0500000US12099,"Palm Beach County, Florida",13.4,23.6
0500000US12101,"Pasco County, Florida",13.6,24.7
0500000US12103,"Pinellas County, Florida",13.7,25.3
0500000US12105,"Polk County, Florida",17.3,22.7
0500000US12107,"Putnam County, Florida",27.6,25.7
0500000US12109,"St. Johns County, Florida",9.1,20.2
0500000US12111,"St. Lucie County, Florida",16.6,24.8
0500000US12113,"Santa Rosa County, Florida",11.3,18
0500000US12115,"Sarasota County, Florida",10.5,35.9
0500000US12117,"Seminole County, Florida",11.8,15.5
0500000US12119,"Sumter County, Florida",9.2,60.2
0500000US12121,"Suwannee County, Florida",20.4,23.1
0500000US12123,"Taylor County, Florida",16.4,25.6
0500000US12125,"Union County, Florida",21.4,17
0500000US12127,"Volusia County, Florida",16.1,26
0500000US12129,"Wakulla County, Florida",12.6,16.6
0500000US12131,"Walton County, Florida",17,21.2
0500000US12133,"Washington County, Florida",21,21.9
0500000US13001,"Appling County, Georgia",24.7,19.2
0500000US13003,"Atkinson County, Georgia",27.4,15.9
0500000US13005,"Bacon County, Georgia",23.2,20.1
0500000US13007,"Baker County, Georgia",19.5,21.8
0500000US13009,"Baldwin County, Georgia",27.8,17.2
0500000US13011,"Banks County, Georgia",14.3,18.8
0500000US13013,"Barrow County, Georgia",13.2,14
0500000US13015,"Bartow County, Georgia",14.2,15.5
0500000US13017,"Ben Hill County, Georgia",30.4,20
0500000US13019,"Berrien County, Georgia",23.7,20.5
0500000US13021,"Bibb County, Georgia",26.7,17.9
0500000US13023,"Bleckley County, Georgia",23,22.9
0500000US13025,"Brantley County, Georgia",21.8,23.3
0500000US13027,"Brooks County, Georgia",23.6,22.4
0500000US13029,"Bryan County, Georgia",14.1,11.6
0500000US13031,"Bulloch County, Georgia",30.4,12.4
0500000US13033,"Burke County, Georgia",29.2,17.7
0500000US13035,"Butts County, Georgia",23.5,19.1
0500000US13037,"Calhoun County, Georgia",32.2,22.1
0500000US13039,"Camden County, Georgia",12.7,14.4
0500000US13043,"Candler County, Georgia",31.5,19.6
0500000US13045,"Carroll County, Georgia",18.6,15.6
0500000US13047,"Catoosa County, Georgia",10.8,18.7
0500000US13049,"Charlton County, Georgia",23.1,22.7
0500000US13051,"Chatham County, Georgia",17.3,15.7
0500000US13053,"Chattahoochee County, Georgia",15,9.7
0500000US13055,"Chattooga County, Georgia",22.5,24.6
0500000US13057,"Cherokee County, Georgia",9.4,13.5
0500000US13059,"Clarke County, Georgia",34.1,11.6
0500000US13061,"Clay County, Georgia",41.4,26.2
0500000US13063,"Clayton County, Georgia",21.9,10.3
0500000US13065,"Clinch County, Georgia",39.5,18.9
0500000US13067,"Cobb County, Georgia",10.9,11.7
0500000US13069,"Coffee County, Georgia",23.9,17.6
0500000US13071,"Colquitt County, Georgia",25.4,17.5
0500000US13073,"Columbia County, Georgia",8.6,13.8
0500000US13075,"Cook County, Georgia",24.2,17.9
0500000US13077,"Coweta County, Georgia",11.6,14.1
0500000US13079,"Crawford County, Georgia",18.1,21.4
0500000US13081,"Crisp County, Georgia",31.2,20.5
0500000US13083,"Dade County, Georgia",17.5,20.3
0500000US13085,"Dawson County, Georgia",11.8,21.9
0500000US13087,"Decatur County, Georgia",24.1,18.6
0500000US13089,"DeKalb County, Georgia",17.6,12.5
0500000US13091,"Dodge County, Georgia",22.2,21.4
0500000US13093,"Dooly County, Georgia",23.2,23.9
0500000US13095,"Dougherty County, Georgia",30.5,17.3
0500000US13097,"Douglas County, Georgia",14.2,12.8
0500000US13099,"Early County, Georgia",27.5,21
0500000US13101,"Echols County, Georgia",28.2,14.8
0500000US13103,"Effingham County, Georgia",9.6,13.1
0500000US13105,"Elbert County, Georgia",22.4,26.1
0500000US13107,"Emanuel County, Georgia",29.2,18.7
0500000US13109,"Evans County, Georgia",26,18.1
0500000US13111,"Fannin County, Georgia",15.8,31.9
0500000US13113,"Fayette County, Georgia",6.3,17.1
0500000US13115,"Floyd County, Georgia",18.1,18.7
0500000US13117,"Forsyth County, Georgia",6.5,11.5
0500000US13119,"Franklin County, Georgia",25.4,23.6
0500000US13121,"Fulton County, Georgia",16,12.1
0500000US13123,"Gilmer County, Georgia",18.8,26.6
0500000US13125,"Glascock County, Georgia",11.5,18.2
0500000US13127,"Glynn County, Georgia",19.2,21
0500000US13129,"Gordon County, Georgia",18.8,18.1
0500000US13131,"Grady County, Georgia",25.4,19.9
0500000US13133,"Greene County, Georgia",21.9,29.8
0500000US13135,"Gwinnett County, Georgia",12.1,9.5
0500000US13137,"Habersham County, Georgia",17.2,21.3
0500000US13139,"Hall County, Georgia",16.1,15.6
0500000US13141,"Hancock County, Georgia",30,32
0500000US13143,"Haralson County, Georgia",18,19.8
0500000US13145,"Harris County, Georgia",7.3,19
0500000US13147,"Hart County, Georgia",18.8,25.8
0500000US13149,"Heard County, Georgia",17.4,19.3
0500000US13151,"Henry County, Georgia",11.4,12.7
0500000US13153,"Houston County, Georgia",16.7,14.2
0500000US13155,"Irwin County, Georgia",24.5,24.2
0500000US13157,"Jackson County, Georgia",12.5,17.1
0500000US13159,"Jasper County, Georgia",19.4,20.3
0500000US13161,"Jeff Davis County, Georgia",20.6,19.6
0500000US13163,"Jefferson County, Georgia",26.9,21.3
0500000US13165,"Jenkins County, Georgia",30.7,20.9
